Request,Key,Formats,Framing,Shots
What should a patient know about this drug,Cardiovascular Drugs,bulleted list,I am a pharmacist doing patient consults,"Omeprazole is used to treat excess stomach acid in conditions such as non cancerous stomach ulcers, gastroesophageal reflux disease (GERD), active duodenal ulcer, Zollinger-Ellison syndrome and erosive esophagitis. Omeprazole works by blocking gastric acid production and is from the group of medicines called proton pump inhibitors."
What are the interactions with this drug,Aldosterone System (RAAS),one paragraph,I am a pharmacist looking up drug interations on Drugs.com,"There are 220 drugs known to interact with omeprazole, along with 3 disease interactions. Of the total drug interactions, 22 are major, 151 are moderate, and 47 are minor. For more details please check https://www.drugs.com/drug-interactions/omeprazole-index.html"
Will this drug help relieve pain for my patient,"Lisinopril (Prinivil, Zestril)",1500 words,I am a doctor prescribing medications to a patient,Famotidine is usually the first choice to treat occasional heartburn if your symptoms occur less than two times per week. For more details please check https://www.drugs.com/search.php?searchterm=omeprazole&sources[]=medical-answers
Where can I purchase this drug for the best price,"Lisinopril/hydrochlorothiazide (Prinzide, Zestoretic)",middle-school English,I am a hosptial administrator trying to source drugs for the best price,Pharmaceutical distribution services are available directly from the drug manufacturers. Medical service companies like McKesson Corporation also do pharmaceutical distribution.
Is this a controlled drug,Enalapril (Vasotec),college level English,I am a policy maker trying to assess which drugs should be controlled by law,"Omeprazole is not a controlled drug. More details are available from the U.S. Department of Justice, Drug Enforcement Administration schedule of controlled substances. An alphabetically ordered list of controlled substances is available on their website, at https://www.deadiversion.usdoj.gov/schedules/"
Help me to understand what this drug does,Ramipril (Altace),professional,I am a layperson trying to understand the drugs I was prescribed,"Omeprazole delayed-release capsules, USP, are indicated for short-term treatment of active duodenal ulcer in adults. Most patients heal within four weeks. Some patients may require an additional four weeks of therapy. For more details please check https://www.drugs.com/pro/omeprazole.html"
What is the generic name of this drug,Losartan (Cozaar),casual,I am an FDA analyst trying to assess what is the generic form of a drug,Omeprazole is the generic name for Prilosec
Has the patent on this drug expired,Olmesartan (Benicar),,I am a business owner manufacturing generic drugs whose patents have expired,
What are common confusions with this drug,Valsartan (Diovan),,I am a nurse verifying drugs for my patient,
Where can I find a public data set on pharmaceutical drugs like this one,Beta Blockers,,I am an informatics pharmacist building a prescription system for doctors in a hospital,
,Atenolol (Tenormin),,,
,Metoprolol tartrate (Lopressor),,,
,Metoprolol succinate (Toprol XL),,,
,Nebivolol (Bystolic),,,
,Propranolol (Inderal),,,
,Carvedilol (Coreg),,,
,Calcium Channel Blockers,,,
,Nifedipine XL (Procardia XL),,,
,Amlodipine (Norvasc),,,
,Amlodipine/benazepril (Lotrel),,,
,"Diltiazem (Cardizem CD, more)",,,
,Diuretics,,,
,Hydrochlorothiazide (Microzide),,,
,Metolazone (Zaroxolyn),,,
,Furosemide (Lasix),,,
,Torsemide (Demadex),,,
,Bumetanide (Bumex),,,
,Spironolactone (Aldactone),,,
